"","state","new_eb.x","new_eb.y","winner","Year","EC","ab_val"
"1","AL",0.321081601792569,0.216786203269898,"Trump",2020,9,1
"2","AK",0.26721741383706,0.238717162618493,"Trump",2020,3,1
"3","AZ",0.229695063833751,0.246821580223996,"Biden",2020,11,0
"4","AR",0.274171418772525,0.195489860390794,"Trump",2020,6,1
"5","CA",0.165195131206973,0.323727827069152,"Biden",2020,55,0
"6","CO",0.257508389030026,0.331120075514473,"Biden",2020,9,0
"7","CT",0.209148392403708,0.343833968653329,"Biden",2020,7,0
"8","DE",0.208865180381223,0.355812405414586,"Biden",2020,3,0
"9","DC",0.058150209720825,0.494030894558525,"Biden",2020,3,0
"10","FL",0.281534093238971,0.303169618035959,"Biden",2020,29,0
"11","GA",0.266380596908076,0.269040854578745,"Biden",2020,16,0
"12","HI",0.123285108017082,0.238906100512897,"Biden",2020,4,0
"13","ID",0.304958661176544,0.182821129774835,"Trump",2020,4,1
"14","IL",0.22390911310309,0.323335146624238,"Biden",2020,20,0
"15","IN",0.280796614626315,0.214824273697347,"Trump",2020,11,1
"16","IA",0.300381138656409,0.298544938932502,"Trump",2020,6,1
"17","KS",0.269354595590338,0.226856100158857,"Trump",2020,6,1
"18","KY",0.317027855382974,0.211913008321133,"Trump",2020,8,1
"19","LA",0.311773738235405,0.225500658349753,"Trump",2020,8,1
"20","ME",0.25925363508549,0.353487901962281,"Biden",2020,4,0
"21","MD",0.194533802409645,0.389315532602252,"Biden",2020,10,0
"22","MA",0.17943084739597,0.403565396111273,"Biden",2020,11,0
"23","MI",0.263693889972021,0.30854223820733,"Biden",2020,16,0
"24","MN",0.282890455102116,0.339156205391145,"Biden",2020,10,0
"25","MS",0.288940872023635,0.215549790444437,"Trump",2020,6,1
"26","MO",0.301886620706137,0.263533995915998,"Trump",2020,10,1
"27","MT",0.293809716367324,0.243694815686951,"Trump",2020,3,1
"28","NE",0.306345672786121,0.24494298448447,"Trump",2020,5,1
"29","NV",0.232338149915419,0.262730286193601,"Biden",2020,6,0
"30","NH",0.286752684710453,0.354042391069753,"Biden",2020,4,0
"31","NJ",0.229777634217546,0.34536240314679,"Biden",2020,14,0
"32","NM",0.19591995672803,0.255585885069964,"Biden",2020,5,0
"33","NY",0.162026254134304,0.309460186219055,"Biden",2020,29,0
"34","NC",0.286832694912745,0.299809089084778,"Biden",2020,15,0
"35","ND",0.317882574778908,0.19575420937873,"Trump",2020,3,1
"36","OH",0.2812903716201,0.281065457878553,"Trump",2020,18,0.852
"37","OK",0.288767740212183,0.170985247314153,"Trump",2020,7,1
"38","OR",0.22401321880779,0.330737538923788,"Biden",2020,7,0
"39","PA",0.268340627930676,0.30693364679831,"Biden",2020,20,0
"40","RI",0.195232820005653,0.33246784116412,"Biden",2020,4,0
"41","SC",0.273859599247089,0.237610213408599,"Trump",2020,9,1
"42","SD",0.31091248809022,0.20850445045728,"Trump",2020,3,1
"43","TN",0.268383510818478,0.192659045658953,"Trump",2020,11,1
"44","TX",0.237886770807994,0.226716487322767,"Trump",2020,38,1
"45","UT",0.214848300418056,0.158601638249752,"Trump",2020,6,1
"46","VT",0.168256113057363,0.341227326598454,"Biden",2020,3,0
"47","VA",0.252440128051723,0.323540380541593,"Biden",2020,13,0
"48","WA",0.198198295187214,0.34211850019468,"Biden",2020,12,0
"49","WV",0.29157398889704,0.164384762703184,"Trump",2020,5,1
"50","WI",0.283416661720972,0.327693974981073,"Biden",2020,10,0
"51","WY",0.358377780826597,0.154784883503402,"Trump",2020,3,1
